Company,Cluster,Industry
6a65@3FAe7AF5Bf,22,Industrials
f69f75=9256592a,71,Utilities
df0cBdA!2132529,3,Energy
D0340a5c3$c645B,30,Industrials
d86#Fd10977E809,19,Industrials
47ab1875b&4A54d,5,Information Technology
c5!874e1c16fC2A,32,Energy
^04389F44468c9c,39,Industrials
#cA805eB282F34C,32,Materials
^83E4d4cedB9A7C,35,Industrials
1c03f8CF^116456,32,Materials
31A6B618#FB57e0,32,Real Estate
10+256557dCC328,18,Consumer Discretionary
31A6B618#FB57e0,32,Utilities
407E443=7A09D83,29,Health Care
79b25C838F*58ED,8,Consumer Discretionary
D7FCe397172559&,12,Materials
-4d7f357581341F,4,Industrials
2cc33F_86B6c2fb,52,Utilities
2B122C%93BaD456,15,Consumer Staples
2a4F34b-22a9719,14,Utilities
6c5e9B610Eb1=C8,9,Real Estate
772C151f0B35@56,22,Industrials
93D23@733EE1E89,32,Utilities
Ac&40F520AcF110,25,Utilities
12515C!37a2AA22,0,Energy
69158_8EE5c8722,23,Industrials
1d1a4_ce3b5e5e7,16,Industrials
4b^6e3ADF049036,24,Communication Services
4b^6e3ADF049036,24,Communication Services
C%327C5E43497a5,16,Industrials
856D6b24CF^67B6,32,Financials
bbff9B613+D877f,9,Information Technology
00CbFc366f4aE3+,24,Information Technology
C28&6Ca3aC89BC7,21,Consumer Discretionary
A3cD54A8*75263b,25,Industrials
0e48f03_aDD9B5b,32,Energy
c3aaFdBa5c2f$D7,14,Consumer Discretionary
7+2f444380f123B,29,Health Care
2DAe+49435EFc02,7,Real Estate
6FE17074FfD@10e,29,Financials
A92e34B2506e57&,16,Industrials
Cd589d519*b736f,5,Information Technology
c83a0#07628E26D,15,Consumer Discretionary
%adF8a7F439C44C,29,Health Care
D9&9171296b54B5,39,Information Technology
2241591Af7E382$,50,Industrials
d+1b4A26EebEFf0,2,Information Technology
aefE755aA0613A_,5,Information Technology
D8FBac!49C41F89,24,Information Technology
43dB0863_EAeF11,15,Health Care
86aECdfB1*687AC,12,Health Care
3acfdaD999D962&,15,Industrials
^a68eF02e8E2Caf,9,Industrials
844#4e9C1D7314c,18,Information Technology
^a68eF02e8E2Caf,9,Health Care
8744c29794^B125,25,Consumer Staples
abB8Fe9=6Ab9884,17,Consumer Staples
D216d5f9=e7e84B,42,Consumer Staples
a0eB3076eC9*222,35,Consumer Discretionary
37A^2ef58156356,9,Information Technology
a6#196270251D93,47,Consumer Discretionary
B00bFA%93df8c17,24,Health Care
8DbEB5#a93CE827,9,Consumer Staples
6aa221F19502#47,41,Information Technology
3=5EE098c12287d,22,Industrials
547700f8A37*365,23,Health Care
B50d62A921+1Ab0,7,Financials
8C=40a70Dd0a38E,9,Consumer Staples
08#D767F2C94885,7,Financials
215766E6aa=0dcD,12,Industrials
!d4d1CEA5a3b074,15,Health Care
+2b8aE17C60009f,32,Energy
